18||#2	QTV kiểm tra hộ mình..số đơn hàng 4653663 hoàn thành chưa ạ...e có thể tới shop lấy hàng được chưa
18||#40	mua cu thi sao ad
18||#80	Cho mình hỏi máy này loa ngoài nằm ở đâu vậy
18||#95	Máy này mode viet nam fai ko Fpt
18||#138	co cua hang fpt nao gann bo ho khong ban
18||#141	mình đang dùng masstel a260 nhưng không xóa được tin nhắn, xóa máy báo không thực hiện được là sao vậy shop?
18||#153	Mà model này năm nào vậy shop?
18||#169	sao chỉ có 1 bài nhạc chuông vậy bạn
18||#172	MASSTEL A260 CHỤP HÌNH LÀM SAO
18||#173	video hình ảnh không khả dụng thì phải làm sao. Masstel A260
18||#183	xin chào
18||#200	Nước sản suất ?
18||#218	Mày này cho vào nước có sao không =))
18||#220	Tặng PMH 300k là trừ trực tiếp hay ntn v adb?
18||#224	Cho e hoi v5 su dung chip ngang chip nao cua sam sung vay
18||#231	ốp lưng của máy vivo v5s có thể sử dụng cho máy này đc ko ạ?
18||#235	Cho mình hỏi Phiếu mua hàng trị giá 300k có được trừ vào giá 5.990 không vậy nếu được thì tốt quá rồi..
18||#239	chu vivo v5 cai nao co 256gb
18||#240	co the nho256gb
18||#241	vao YouTube tim kiếm vivo v5 chua
18||#242	vao youtube go tim kiem vivo v5 co chu truc tiep su kien ra mat vivo v5 gia do bao nhieu gium giùm minh nhe
18||#243	vao tim kiem vivo v5 la co day
18||#244	vao youtube chua
18||#245	bui anh tuan go vao youtube tim kiếm vivo v5 vao cho 01/12/2016 co chuong do day coi thử gia do bao nhieu gium minh nhe
18||#246	bui anh tuan co biet chuong trinh do khong
18||#249	Shop cho em hỏi em mua v5 từ 13 lúc quay được phần quà vivo. Nhân viên bảo sang tuần có mà Sao mãi vẫn chưa có vậy.hôm nay đã là 26 r
18||#251	Vivo v5 xài chip của hảng nào ạ
18||#254	vivo v5s goi la plus dung khong
18||#255	vivo v5s co the nho 256gb
18||#259	Con nai còn ha ban
18||#262	chơi liên quân sao mấy thánh
18||#270	Tại sau khi cài đặt những app trên google mình k cài đặt đc, mặc dù đã bật k rõ nguồn gốc ,bấm cài đặt k đc mà bấm hủy đc là sau ạ
18||#271	Máy sx vào thág mấy
